epsilon_s,M_1,M_2,M_3,M_4,M_5,M_6,M_7,M_8,M_9,M_10,M_11,M_12,M_13,M_14,M_15,M_16,M_17,M_18,M_19,M_20,M_21,M_22,M_23,M_24,M_25,M_26,M_27,M_28,M_29,M_30,M_31,M_32,M_33,M_34,M_35,M_36,M_37,M_38,M_39,M_40,M_41,M_42,M_43,M_44,M_45,M_46,M_47,M_48,M_49,M_50,M_51,M_52,M_53,M_54,M_55,M_56,M_57,M_58,M_59,M_60,M_61,M_62,M_63,M_64,M_65,M_66,M_67,M_68,M_69,M_70,M_71,M_72,M_73,M_74,M_75,M_76,M_77,M_78,M_79,M_80,M_81,M_82,M_83,M_84,M_85,M_86,M_87,M_88,M_89,M_90,M_91,M_92,M_93,M_94,M_95,M_96,M_97,M_98,M_99,M_100
1825,5515.12,4146.79,4508.25,6880.23,4988.79,5157.16,6758.06,6128.57,4631.73,5508.37,5064.96,5217.47,5543.62,5171.36,3859.34,6134.53,5474.81,5439.07,6275.38,6281.75,5657.27,5591.62,4934.32,4731.95,4941.9,5808.02,4472.4,4969.64,4482.72,5426.53,4595.1,4942.23,4100.62,4793.91,4549.38,5750.1,5242.48,5446.53,4680.33,4305.8,5156.37,6554.56,4905.18,5805.56,4511.61,3420.66,5519.47,5213.98,4097.83,4471.65,5430.24,4152.9,4655.52,4688.65,7011.66,4811.46,6298.56,4774.79,3876.86,6313.17,4766.79,4729.4,5713.06,5167.61,5867.4,4669.57,4585.9,5304.74,5227.72,4979.47,3938.32,6307.37,5025.8,6257.1,4584.21,5558.68,4242.44,5763.91,4843.77,5625.81,5672.28,5765.89,6374.58,4885.18,4417.35,4558.99,6270.8,5939.65,5427.41,5686.89,5125.76,4881.56,6246.71,4969.59,5704.2,4297.64,5634.73,4879.92,5580.52,5367.77
1850,5528.54,4158.16,4517.07,6928.47,4996.93,5165.57,6769.66,6139.65,4645.34,5520.05,5075.89,5226.12,5552.2,5184.43,3865.35,6146.21,5486.31,5448.94,6288.15,6290.78,5666.38,5606.42,4961.03,4739.14,4968.62,5822.75,4480.36,4984.97,4490.05,5435.29,4603.11,4949.93,4107.13,4797.46,4556.43,5780.72,5250.85,5457.29,4681.03,4312.26,5166.19,6570.05,4913.32,5814.85,4519.86,3421.17,5528.91,5223.68,4104.09,4478.9,5439.36,4159.42,4663.51,4697.72,7023.81,4819.35,6334.15,4801.03,3882.4,6328.83,4774.85,4738.37,5722.33,5178.03,5877.29,4684.75,4595.46,5316.63,5237.33,4987.65,3945.91,6347.36,5034.75,6269.47,4595.88,5572.75,4249.89,5773.03,4851.2,5634.19,5682.73,5776.88,6389,4894.25,4429.06,4566.46,6288.02,5948.93,5451.19,5696.6,5133.84,4889.3,6256.72,4977.72,5713.93,4304.28,5665.02,4887.88,5592.78,5375.98
1875,5539.67,4169.53,4524.52,6976.71,5005.07,5173.98,6781.26,6150.73,4658.94,5531.72,5086.81,5234.77,5560.78,5192.31,3871.35,6157.88,5497.82,5458.81,6297.43,6299.8,5675.49,5614.1,4987.73,4746.34,4995.33,5831.54,4487.19,4999.46,4497.38,5444.05,4611.11,4957.63,4113.64,4801.01,4563.47,5792.64,5259.21,5468.05,4681.73,4318.71,5176.01,6581.2,4921.45,5824.13,4526.29,3421.67,5538.35,5230.65,4110.35,4486.15,5448.48,4165.94,4671.5,4704.8,7035.96,4827.24,6369.73,4827.28,3887.94,6344.49,4782.91,4745.78,5731.61,5188.45,5887.18,4699.51,4605.02,5328.53,5245.1,4995.83,3953.5,6387.35,5043.69,6281.85,4607.55,5586.81,4257.34,5782.16,4858.63,5642.56,5693.19,5787.86,6403.42,4902.02,4435.65,4573.93,6305.24,5958.2,5468.5,5706.3,5141.92,4897.03,6266.72,4981.94,5723.66,4310.92,5678.86,4895.85,5605.05,5384.19
1900,5548.35,4180.91,4531.17,7023.26,5013.21,5182.38,6792.86,6161.81,4672.55,5543.4,5096.22,5243.43,5569.36,5200.19,3877.35,6169.56,5509.32,5468.69,6306.72,6308.82,5684.6,5621.78,5007.58,4753.53,5022.05,5840.32,4494.01,5006.61,4504.71,5452.8,4619.12,4965.33,4120.14,4804.56,4570.52,5801.76,5267.58,5478.82,4682.43,4325.17,5183.86,6592.34,4929.59,5833.42,4532.32,3422.18,5547.8,5237.61,4116.61,4493.4,5457.61,4172.46,4679.49,4711.88,7048.11,4835.13,6405.31,4853.53,3893.48,6360.15,4790.97,4753.05,5740.88,5198.86,5897.07,4706.43,4614.58,5340.42,5252.87,5004,3961.1,6424.51,5052.64,6294.22,4619.22,5600.88,4264.79,5791.28,4866.06,5650.94,5703.64,5798.85,6417.85,4909.31,4442.25,4581.4,6322.46,5967.47,5477.02,5716,5149.99,4904.76,6276.73,4986.17,5733.39,4317.57,5687.59,4903.81,5617.31,5392.4
1925,5557.02,4192.28,4537.82,7067.44,5021.35,5190.79,6804.46,6172.89,4686.15,5555.08,5103.79,5252.08,5577.93,5208.07,3883.36,6181.23,5520.83,5478.56,6316,6317.84,5693.71,5629.46,5018.29,4760.72,5036.35,5849.1,4500.84,5013.77,4512.04,5461.56,4627.13,4973.03,4126.65,4808.1,4577.56,5810.87,5275.94,5489.58,4683.13,4331.63,5190.31,6603.49,4937.73,5842.7,4538.34,3422.68,5557.24,5244.57,4122.87,4500.65,5466.73,4178.98,4687.48,4718.96,7060.26,4843.02,6440.9,4866.2,3899.02,6369.66,4799.03,4760.32,5750.16,5209.28,5906.96,4713.35,4624.14,5352.31,5260.65,5012.18,3968.69,6460.7,5061.45,6306.59,4630.9,5614.94,4272.24,5800.4,4873.49,5659.31,5714.1,5809.83,6432.27,4916.59,4448.84,4588.87,6339.68,5976.74,5485.54,5725.7,5158.07,4912.5,6286.74,4990.39,5743.12,4324.21,5696.32,4911.78,5629.58,5400.61
1950,5565.69,4202.17,4544.47,7111.62,5029.49,5199.2,6816.06,6183.97,4699.75,5565,5111.36,5260.73,5586.51,5215.96,3889.36,6192.91,5532.33,5488.44,6325.28,6326.86,5702.81,5637.14,5029,4767.92,5043.65,5857.88,4507.66,5020.92,4519.37,5470.31,4634.36,4980.73,4133.16,4811.65,4584.61,5819.98,5284.31,5500.34,4683.83,4338.08,5196.75,6614.64,4945.86,5851.99,4544.36,3423.19,5566.68,5251.54,4129.13,4507.91,5475.85,4185.5,4695.47,4726.05,7072.41,4850.91,6476.48,4874.41,3904.56,6377.27,4807.09,4767.58,5759.43,5219.7,5916.85,4720.27,4633.69,5364.21,5268.42,5020.36,3976.28,6496.89,5065.49,6318.96,4642.57,5627.43,4279.69,5809.53,4880.92,5667.68,5717.71,5820.81,6446.69,4923.88,4455.44,4596.34,6356.91,5986.01,5494.06,5735.4,5166.15,4920.23,6296.75,4994.61,5752.85,4330.85,5705.06,4919.74,5641.84,5408.83
1975,5574.37,4207.78,4551.13,7155.8,5037.62,5207.6,6827.66,6195.05,4708.27,5572.18,5118.94,5269.39,5595.09,5223.84,3895.37,6204.58,5543.84,5492.22,6334.56,6335.88,5711.92,5644.82,5039.72,4775.11,5050.94,5866.67,4514.49,5028.07,4526.7,5479.07,4637.84,4988.44,4139.67,4815.2,4591.66,5829.09,5292.67,5511.11,4684.53,4344.54,5203.2,6625.79,4954,5861.28,4550.38,3423.7,5576.12,5258.5,4135.39,4515.16,5484.97,4192.01,4702.78,4733.13,7084.56,4858.8,6512.07,4882.62,3910.1,6384.88,4815.15,4774.85,5768.71,5230.11,5926.74,4727.2,4643.25,5376.1,5276.2,5028.54,3983.87,6533.07,5069.52,6331.33,4653.96,5635.26,4287.14,5818.65,4888.35,5676.06,5719.96,5831.8,6456.11,4931.16,4462.03,4603.8,6374.13,5995.29,5502.58,5745.1,5174.23,4927.96,6306.76,4998.84,5762.58,4337.5,5713.79,4927.7,5654.1,5417.04
2000,5583.04,4213.4,4557.78,7199.97,5045.76,5216.01,6839.26,6200.59,4714.78,5579.36,5126.51,5278.04,5603.67,5231.72,3901.37,6208.74,5555.34,5495.29,6343.85,6344.9,5721.03,5652.51,5050.43,4782.3,5058.24,5875.45,4521.31,5035.23,4534.03,5487.82,4641.31,4996.14,4146.18,4818.75,4598.7,5838.21,5301.04,5520.27,4685.23,4350.99,5209.65,6636.93,4962.14,5870.56,4556.41,3424.2,5585.56,5265.46,4141.65,4522.41,5494.09,4198.53,4707.66,4740.21,7096.72,4866.69,6531.51,4890.83,3915.64,6392.49,4823.21,4782.12,5777.98,5240.53,5936.63,4734.12,4652.65,5388,5283.97,5036.71,3991.46,6569.26,5073.55,6343.7,4660.03,5643.08,4294.59,5827.77,4895.78,5684.43,5722.21,5842.78,6460.29,4938.45,4468.63,4611.27,6382.61,6004.56,5511.1,5754.8,5182.31,4935.7,6316.76,5003.06,5772.31,4344.14,5722.52,4935.67,5666.37,5425.25
2025,5591.71,4219.01,4564.43,7244.15,5053.9,5224.41,6850.86,6203.73,4721.29,5586.55,5134.09,5286.69,5612.25,5239.6,3907.38,6212.25,5564.83,5498.36,6353.13,6353.93,5730.14,5660.19,5061.14,4789.5,5065.54,5884.23,4528.13,5042.38,4541.37,5496.58,4644.79,5003.84,4152.69,4822.3,4605.75,5847.32,5309.4,5528.16,4685.94,4357.45,5216.09,6648.08,4967.35,5879.85,4562.43,3424.71,5595,5272.42,4147.91,4529.66,5503.21,4205.05,4712.53,4747.29,7108.87,4874.58,6542.35,4899.04,3921.18,6400.1,4831.27,4789.39,5787.26,5250.95,5946.53,4741.04,4659.27,5399.89,5291.74,5044.89,3999.05,6605.44,5077.59,6356.07,4666.11,5650.91,4300.28,5836.9,4903.21,5692.81,5724.46,5850.84,6464.48,4945.73,4475.22,4618.74,6390.19,6013.83,5519.62,5764.5,5190.39,4943.43,6326.77,5007.28,5782.04,4350.79,5731.26,4943.63,5678.63,5433.46
2050,5600.39,4224.63,4571.08,7284.68,5062.04,5232.82,6862.46,6206.86,4727.81,5593.73,5141.66,5295.35,5620.83,5247.48,3913.33,6215.76,5572.52,5501.43,6362.41,6362.95,5739.25,5667.87,5071.85,4796.69,5072.83,5893.01,4534.96,5049.53,4546.54,5500.89,4648.27,5011.54,4158.63,4825.84,4612.79,5856.43,5317.77,5536.06,4686.64,4363.91,5222.54,6659.23,4968.9,5889.14,4568.45,3425.21,5603.44,5279.39,4154.17,4536.03,5512.33,4209.34,4717.41,4754.37,7115.53,4881.49,6553.19,4907.25,3926.72,6407.71,4837.82,4796.66,5796.53,5257.84,5956.4,4747.96,4665.89,5411.78,5299.52,5053.07,4006.64,6632.5,5081.62,6368.45,4672.18,5658.74,4305.81,5846.02,4910.64,5701.18,5726.7,5856.48,6468.67,4953.02,4481.82,4624.69,6397.78,6023.1,5528.14,5773.14,5198.47,4951.16,6336.78,5011.5,5787.55,4357.43,5739.99,4949.57,5690.9,5441.67
2075,5609.06,4230.24,4577.73,7325.08,5068.84,5238.78,6874.06,6210,4734.32,5600.91,5149.24,5299.98,5629.41,5255.37,3918.26,6219.28,5580.21,5504.5,6371.69,6371.97,5748.36,5675.55,5082.56,4803.89,5080.13,5901.8,4541.78,5056.68,4551.5,5503.27,4651.74,5019.24,4163.88,4829.39,4619.84,5865.54,5326.13,5543.95,4687.34,4370.36,5228.98,6670.38,4970.44,5898.42,4574.47,3425.72,5606.99,5286.35,4160.44,4541.93,5519.76,4211.82,4722.29,4761.45,7118.52,4883.04,6564.03,4915.46,3932.26,6415.32,4842.19,4803.92,5803.21,5264.48,5958.06,4754.88,4672.51,5419.54,5307.29,5061.24,4014.23,6649.95,5085.66,6380.82,4678.26,5666.57,4311.33,5855.14,4918.07,5709.55,5728.95,5862.11,6472.85,4960.3,4488.41,4629.95,6405.37,6032.37,5536.66,5776.31,5206.54,4958.9,6346.79,5015.73,5789.21,4364.07,5748.73,4952.97,5703.16,5449.88
2100,5617.73,4235.86,4584.39,7365.48,5075.39,5243.75,6878.2,6213.13,4740.83,5608.09,5156.81,5301.42,5637.99,5263.25,3923.19,6222.79,5587.9,5507.57,6380.98,6380.99,5757.47,5683.23,5093.27,4811.08,5087.42,5910.58,4548.61,5063.84,4556.47,5505.65,4655.22,5026.94,4169.12,4832.94,4626.89,5874.66,5331.31,5551.85,4688.04,4376.82,5235.43,6681.52,4971.98,5907.71,4580.5,3426.22,5610.54,5293.31,4166.7,4547.83,5523.34,4214.3,4727.16,4768.54,7121.52,4884.59,6574.87,4923.67,3937.8,6422.93,4846.55,4811.19,5805.68,5271.12,5959.72,4761.8,4679.13,5426.45,5315.06,5069.42,4021.37,6667.41,5089.69,6386.49,4684.33,5674.4,4316.86,5864.27,4925.5,5717.93,5731.2,5867.74,6477.04,4967.59,4495.01,4635.2,6412.95,6041.65,5545.18,5779.47,5214.62,4964.85,6356.79,5019.95,5790.86,4370.72,5757.46,4956.38,5711.96,5458.09
2125,5626.41,4241.47,4591.04,7405.89,5081.94,5248.71,6879.79,6216.27,4747.35,5615.27,5164.39,5302.87,5646.57,5271.13,3928.12,6226.3,5595.59,5510.64,6390.26,6385.67,5760.03,5690.91,5103.98,4818.27,5094.72,5919.36,4555.43,5070.99,4561.44,5508.04,4658.69,5034.03,4174.37,4836.49,4633.56,5883.77,5332.78,5559.74,4688.74,4383.28,5241.88,6692.67,4973.53,5911.52,4586.52,3426.73,5614.09,5300.28,4172.96,4553.73,5526.93,4216.78,4732.04,4775.62,7124.52,4886.14,6585.71,4931.88,3943.35,6430.55,4850.92,4818.46,5808.15,5277.77,5961.39,4768.72,4685.75,5433.37,5322.84,5072.48,4026.18,6684.87,5093.72,6390.23,4690.41,5682.22,4322.38,5873.39,4932.93,5726.3,5733.45,5873.38,6481.23,4974.87,4501.6,4640.46,6420.54,6050.92,5553.7,5782.64,5219.34,4970.04,6366.8,5024.17,5792.51,4375.83,5766.19,4959.78,5719.37,5466.31
2150,5635.08,4247.09,4597.69,7446.29,5088.5,5253.68,6881.38,6219.4,4753.86,5622.46,5171.96,5304.31,5655.15,5279.01,3933.05,6229.82,5603.28,5513.71,6399.54,6386.51,5762.38,5698.59,5114.7,4825.47,5102.02,5928.14,4562.26,5078.14,4566.4,5510.42,4662.17,5040.21,4179.62,4840.04,4639.23,5892.88,5334.24,5567.64,4689.44,4389.28,5248.32,6703.82,4975.07,5914.3,4592.54,3427.23,5617.64,5307.24,4178.22,4559.64,5530.52,4219.25,4736.91,4782.7,7127.51,4887.69,6596.54,4940.09,3948.89,6438.16,4855.28,4825.73,5810.61,5284.41,5963.05,4775.64,4692.37,5440.28,5330.61,5073.79,4031,6702.33,5097.76,6393.98,4696.49,5690.05,4327.91,5881.43,4940.36,5734.68,5735.7,5879.01,6485.41,4982.15,4508.2,4645.72,6428.13,6060.19,5562.22,5785.8,5221.44,4975.24,6376.81,5028.4,5794.16,4376.41,5774.93,4963.18,5726.79,5474.52
2175,5643.75,4252.7,4604.34,7486.66,5095.05,5258.64,6882.96,6222.54,4760.37,5629.64,5179.53,5305.76,5663.72,5286.89,3937.98,6233.33,5610.97,5516.78,6408.82,6387.35,5764.73,5706.27,5125.41,4832.66,5109.31,5936.93,4569.08,5085.3,4571.37,5512.8,4665.64,5046.38,4184.86,4843.59,4644.89,5901.99,5335.71,5575.53,4690.14,4394.43,5254.77,6714.97,4976.61,5917.08,4598.56,3427.74,5621.19,5314.2,4183.35,4565.54,5534.11,4221.73,4741.79,4789.78,7130.51,4889.24,6607.38,4948.29,3954.43,6445.77,4859.65,4833,5813.08,5291.06,5964.72,4782.56,4698.99,5447.2,5338.38,5075.1,4035.81,6719.78,5101.79,6397.72,4702.56,5697.88,4333.43,5886.86,4947.39,5743.05,5737.94,5884.65,6489.6,4989.44,4514.79,4650.98,6435.71,6069.46,5570.74,5788.97,5223.54,4980.43,6381.01,5032.62,5795.82,4376.98,5783.66,4966.58,5734.2,5482.73
2200,5652.43,4258.31,4611,7523.56,5101.6,5263.61,6884.55,6225.67,4766.89,5636.82,5187.11,5307.21,5672.3,5294.77,3942.91,6236.84,5618.66,5519.85,6418.1,6388.18,5767.08,5713.95,5136.12,4839.86,5116.61,5945.71,4575.91,5092.45,4576.34,5515.18,4669.12,5052.55,4190.11,4847.13,4650.56,5909.92,5337.17,5583.43,4690.84,4399.58,5261.22,6726.11,4978.15,5919.87,4604.59,3428.25,5624.74,5321.17,4188.49,4571.44,5537.7,4224.21,4746.66,4796.86,7133.51,4890.79,6618.22,4956.5,3956.99,6453.38,4864.01,4838.82,5815.55,5297.7,5966.38,4789.48,4705.62,5454.11,5346.16,5076.41,4040.62,6737.24,5105.82,6401.46,4708.64,5705.71,4338.96,5892.29,4953.32,5751.42,5740.19,5890.28,6493.79,4996.72,4520.26,4656.24,6443.3,6072.91,5578.82,5792.13,5225.64,4985.63,6385.02,5036.84,5797.47,4377.56,5792.4,4969.98,5741.62,5490.83
2225,5660.73,4263.93,4617.65,7560.47,5108.16,5268.57,6886.14,6228.81,4773.4,5644,5194.68,5308.65,5675.7,5299.3,3947.84,6240.36,5626.36,5522.93,6427.39,6389.02,5769.43,5721.63,5144.11,4842.71,5123.9,5954.49,4576.62,5099.6,4581.3,5517.56,4672.6,5058.72,4195.36,4849.24,4656.22,5917.39,5338.64,5591.32,4691.54,4404.73,5267.66,6737.26,4979.7,5922.65,4610.61,3428.75,5628.28,5328.13,4193.63,4577.34,5541.28,4226.69,4751.54,4800.65,7136.5,4892.34,6629.06,4964.71,3957.49,6460.99,4868.38,4840.86,5818.02,5304.34,5968.05,4796.31,4712.24,5461.03,5353.93,5077.71,4045.44,6754.7,5109.86,6405.21,4714.71,5713.54,4344.48,5897.71,4959.25,5752.61,5742.44,5895.91,6497.97,5003.84,4525.6,4661.5,6450.89,6075.56,5585.75,5795.3,5227.74,4990.82,6389.04,5041.06,5799.12,4378.14,5800.14,4973.39,5749.03,5492.23
2250,5661.89,4269.54,4620.34,7597.38,5114.71,5273.54,6887.72,6231.94,4779.91,5651.18,5202.26,5310.1,5676.97,5302.99,3952.76,6243.87,5634.05,5526,6436.67,6389.86,5771.78,5729.32,5149.9,4843.39,5131.03,5959.79,4577.3,5106.76,4586.27,5519.94,4676.07,5064.9,4200.6,4849.73,4661.89,5924.85,5340.11,5599.22,4692.24,4409.88,5274.11,6746.4,4981.24,5925.43,4616.63,3429.26,5631.83,5335.09,4198.76,4583.24,5544.87,4229.17,4756.41,4802.7,7139.5,4893.89,6639.9,4970.68,3957.99,6468.6,4872.74,4842.9,5820.49,5310.99,5969.71,4801.96,4718.86,5467.94,5356.41,5079.02,4050.25,6772.16,5113.89,6408.95,4720.79,5721.36,4350.01,5903.14,4965.18,5753.28,5744.69,5901.55,6502.16,5004.84,4530.94,4666.75,6458.47,6078.2,5592.68,5798.46,5229.85,4996.02,6393.06,5045.29,5800.78,4378.71,5806.31,4976.79,5756.45,5493.63
2275,5663.06,4275.16,4622.48,7634.29,5121.26,5278.5,6889.31,6235.08,4786.42,5658.37,5205.09,5311.54,5678.23,5306.67,3957.69,6247.38,5641.74,5529.07,6438.04,6390.7,5774.13,5737,5155.7,4844.08,5137,5960.66,4577.98,5111.96,4591.24,5522.32,4679.55,5071.07,4205.85,4850.22,4667.55,5932.32,5341.57,5607.11,4692.94,4415.02,5280.33,6749.96,4982.78,5928.22,4619.16,3429.76,5635.38,5338.44,4203.9,4589.14,5548.46,4231.64,4761.29,4804.74,7142.5,4895.44,6650.74,4976.4,3958.49,6476.21,4877.11,4844.94,5822.95,5317.63,5971.38,4807.6,4725.48,5474.86,5358.71,5080.33,4055.07,6789.61,5117.93,6412.69,4726.86,5729.19,4355.54,5908.57,4971.1,5753.95,5746.94,5907.18,6506.35,5005.83,4536.28,4672.01,6466.06,6080.85,5599.61,5801.62,5231.95,5001.21,6397.07,5049.51,5802.43,4379.29,5812.49,4980.19,5763.86,5495.02
2300,5664.22,4280.77,4624.62,7671.19,5127.81,5283.47,6890.9,6238.21,4792.94,5665.55,5206.79,5312.99,5679.5,5310.36,3962.62,6250.89,5649.43,5532.14,6439.19,6391.54,5776.48,5740.09,5161.5,4844.76,5142.96,5961.53,4578.65,5114.64,4596.2,5524.71,4683.02,5077.24,4211.1,4850.71,4673.22,5939.79,5343.04,5615.01,4693.64,4420.17,5281.01,6753.52,4984.33,5931,4619.73,3430.27,5638.93,5339.08,4209.03,4595.05,5552.05,4234.12,4766.17,4806.78,7145.49,4896.99,6661.57,4982.11,3958.99,6483.82,4881.48,4846.98,5825.42,5324.27,5973.04,4813.25,4731.55,5481.77,5361.01,5081.63,4059.88,6799.96,5121.96,6416.43,4732.94,5737.02,4361.06,5913.99,4977.03,5754.62,5749.19,5912.82,6510.53,5006.83,4541.62,4677.27,6473.65,6083.49,5606.53,5804.79,5234.05,5006.41,6401.09,5053.73,5804.08,4379.87,5818.66,4983.59,5771.28,5496.42
2325,5665.39,4286.39,4626.75,7708.1,5134.37,5288.43,6892.48,6241.35,4798.92,5672.73,5208.49,5314.43,5680.76,5314.04,3967.55,6254.41,5657.12,5535.21,6440.34,6392.37,5778.83,5740.74,5167.3,4845.44,5148.93,5962.39,4579.33,5117.32,4601.17,5527.09,4686.5,5083.41,4216.35,4851.2,4678.88,5947.25,5344.5,5622.9,4694.34,4425.32,5281.68,6757.09,4985.87,5933.79,4620.3,3430.77,5642.48,5339.73,4214.17,4600.95,5555.64,4236.6,4771.04,4808.82,7148.49,4898.54,6669.87,4987.83,3959.49,6491.43,4885.84,4849.01,5827.89,5330.92,5974.71,4818.89,4737.18,5488.69,5363.31,5082.94,4064.7,6808.64,5125.99,6420.18,4739.01,5744.85,4366.59,5919.42,4982.96,5755.29,5751.43,5918.45,6514.72,5007.82,4546.95,4682.53,6481.23,6086.14,5613.46,5807.95,5236.15,5011.6,6405.1,5057.96,5805.74,4380.44,5824.84,4986.99,5778.69,5497.82
2350,5666.55,4290.98,4628.89,7743.42,5140.92,5293.4,6894.07,6244.48,4804.22,5679.91,5210.19,5315.88,5682.03,5317.72,3972.48,6257.92,5664.81,5538.28,6441.48,6393.21,5781.18,5741.4,5173.09,4846.12,5154.89,5963.26,4580.01,5120,4606.14,5529.47,4689.98,5089.59,4221.59,4851.69,4684.55,5954.72,5345.97,5630.8,4695.04,4430.47,5282.36,6760.65,4987.41,5936.57,4620.88,3431.28,5646.03,5340.37,4219.3,4606.85,5559.22,4239.08,4775.92,4810.86,7151.49,4900.09,6677.92,4993.55,3959.99,6498.73,4890.21,4851.05,5830.36,5337.56,5976.37,4824.53,4742.81,5495.6,5365.61,5084.25,4069.51,6817.33,5130.03,6423.92,4745.09,5752.67,4372.11,5924.85,4988.89,5755.96,5753.68,5924.09,6518.91,5008.82,4552.29,4687.79,6488.82,6088.78,5620.39,5811.12,5238.25,5016.8,6409.12,5062.18,5807.39,4381.02,5831.01,4990.4,5786.11,5499.22
2375,5667.72,4295.54,4631.03,7777.11,5147.47,5298.36,6895.66,6247.62,4809.52,5687.09,5211.89,5317.33,5683.29,5321.41,3977.41,6261.43,5672.5,5541.35,6442.63,6394.05,5783.53,5742.06,5178.89,4846.8,5160.86,5964.13,4580.69,5122.67,4611.1,5531.85,4693.45,5095.76,4226.84,4852.18,4690.21,5962.19,5347.44,5632.98,4695.75,4435.62,5283.03,6764.22,4988.96,5939.35,4621.45,3431.78,5649.58,5341.01,4224.44,4612.75,5562.81,4241.55,4780.79,4812.91,7154.48,4901.64,6685.96,4999.27,3960.49,6499.47,4894.57,4853.09,5832.83,5344.2,5978.04,4830.18,4748.44,5502.52,5367.91,5085.56,4074.32,6826.01,5134.06,6427.66,4751.16,5758.76,4377.64,5930.27,4994.82,5756.63,5755.93,5929.72,6523.09,5009.81,4557.63,4693.05,6496.41,6091.43,5627.32,5814.28,5240.35,5021.99,6413.13,5065.51,5809.04,4381.59,5837.19,4993.8,5793.52,5500.61
2400,5668.88,4300.09,4633.17,7810.81,5154.03,5303.33,6897.24,6250.75,4814.83,5688.42,5213.59,5318.77,5684.55,5325.09,3982.34,6264.95,5678.29,5544.42,6443.78,6394.89,5785.88,5742.72,5184.69,4847.48,5166.82,5964.99,4581.37,5125.35,4616.07,5534.23,4696.93,5101.93,4232.09,4852.67,4695.88,5969.65,5348.9,5634.6,4696.45,4440.77,5283.71,6767.78,4990.5,5942.14,4622.02,3432.29,5653.12,5341.66,4229.58,4618.65,5566.4,4244.03,4785.67,4814.95,7157.48,4903.19,6694,5004.98,3960.98,6500.2,4898.94,4855.13,5835.3,5350.85,5979.7,4835.82,4754.07,5509.43,5370.21,5086.86,4079.14,6834.69,5138.1,6431.41,4755.61,5759.59,4382.26,5935.7,5000.74,5757.3,5758.18,5935.35,6527.28,5010.81,4562.97,4698.31,6503.99,6094.07,5634.24,5817.45,5242.45,5027.19,6417.15,5066.05,5810.7,4382.17,5843.36,4997.2,5800.94,5502.01
2425,5670.05,4304.65,4635.31,7844.51,5160.58,5308.3,6898.83,6253.89,4820.13,5689.05,5215.3,5320.22,5685.82,5328.77,3987.24,6268.46,5680.31,5547.49,6444.92,6395.72,5788.23,5743.38,5190.49,4848.16,5172.79,5965.86,4582.05,5128.03,4621.04,5536.61,4700.4,5108.11,4237.33,4853.15,4701.54,5977.12,5350.37,5636.21,4697.15,4445.92,5284.38,6771.35,4992.04,5944.92,4622.59,3432.8,5656.67,5342.3,4234.71,4623.79,5569.99,4246.51,4790.54,4816.99,7160.48,4904.74,6702.04,5010.7,3961.48,6500.94,4903.3,4857.17,5837.76,5357.49,5981.37,4841.47,4759.7,5516.35,5372.51,5088.17,4083.95,6843.37,5142.13,6435.15,4758.95,5760.42,4385.94,5941.13,5006.67,5757.97,5760.43,5940.99,6531.47,5011.81,4568.31,4703.56,6511.58,6096.72,5641.17,5820.61,5244.56,5032.38,6421.17,5066.58,5812.35,4382.75,5849.54,5000.6,5808.35,5503.41
2450,5671.21,4309.2,4637.45,7878.2,5167.13,5313.26,6900.42,6257.02,4825.43,5689.68,5217,5321.66,5687.08,5332.46,3991.28,6271.97,5682.33,5550.56,6446.07,6396.56,5790.58,5744.03,5196.28,4848.85,5178.75,5966.72,4582.73,5130.7,4626,5538.99,4703.88,5114.28,4242.58,4853.64,4707.21,5984.58,5351.83,5637.83,4697.85,4451.07,5285.05,6774.91,4993.59,5947.71,4623.17,3433.3,5660.22,5342.95,4239.85,4625.52,5573.57,4248.99,4795.42,4819.03,7163.47,4906.29,6710.08,5016.42,3961.98,6501.68,4907.67,4859.2,5840.23,5364.14,5983.03,4847.11,4765.33,5523.26,5374.81,5089.48,4088.77,6852.05,5146.16,6438.89,4762.29,5761.25,4389.62,5946.56,5012.6,5758.64,5762.67,5946.62,6535.65,5012.8,4573.65,4708.82,6519.17,6099.36,5648.1,5823.78,5246.66,5037.58,6425.18,5067.12,5814,4383.32,5855.71,5004.01,5815.77,5504.8
2475,5672.37,4313.76,4639.58,7911.9,5173.64,5318.23,6902,6260.16,4830.73,5690.31,5218.7,5323.11,5688.35,5336.14,3995.31,6275.49,5684.35,5553.63,6447.22,6397.4,5792.93,5744.69,5202.08,4849.53,5184.72,5967.59,4583.41,5133.38,4630.97,5541.37,4705.82,5120.45,4243.99,4854.13,4712.87,5992.05,5353.3,5639.44,4698.55,4456.22,5285.73,6778.47,4995.13,5950.49,4623.74,3433.81,5663.77,5343.59,4244.98,4627.25,5577.16,4251.47,4800.3,4821.07,7166.47,4907.84,6718.13,5022.13,3962.48,6502.41,4912.03,4861.24,5842.7,5370.78,5984.7,4852.76,4770.96,5528.05,5377.11,5090.78,4093.58,6860.73,5149.69,6442.64,4765.63,5762.08,4393.3,5951.98,5018.53,5759.31,5764.92,5952.26,6539.84,5013.8,4578.99,4714.08,6521.47,6102.01,5655.03,5826.94,5248.76,5042.77,6429.2,5067.66,5815.65,4383.9,5861.88,5007.41,5823.18,5506.2
