x,CC2 M LM1,CC2 M HS20,CC2 M HL93,CC2 V LM1,CC2 V HS20,CC2 V HL93,CC3 M LM1,CC3 M HS20,CC3 M HL93,CC3 V LM1,CC3 V HS20,CC3 V HL93
150,1.16763487,9.866360517,3.027461929,1.288491818,10.70620264,3.328720551,1.336446239,11.2927943,3.465158684,1.468971905,12.20582907,3.794977119
155,1.158112026,10.02801679,3.009771239,1.287379838,10.96706395,3.33424895,1.325556388,11.47790664,3.444935723,1.468682773,12.51156606,3.803814422
160,1.152032299,10.21635234,3.000692411,1.281854457,11.18896319,3.327966255,1.319442932,11.70096872,3.436745999,1.464329463,12.7817385,3.801710102
165,1.145138853,10.39488659,2.989153459,1.269926136,11.35146029,3.304632061,1.312398028,11.91316548,3.42574972,1.452546595,12.98384569,3.779851372
170,1.136832766,10.55763009,2.973635858,1.272533194,11.64196232,3.318774547,1.302878119,12.09967345,3.407963959,1.457449336,13.33369561,3.801037006
175,1.126362716,10.6962889,2.952091092,1.256578386,11.7598804,3.284142914,1.29088535,12.25864675,3.383289493,1.439175743,13.46874561,3.76137205
180,1.116964089,10.84107287,2.933070297,1.246556102,11.92792816,3.264604631,1.280113094,12.42457073,3.361488278,1.429568983,13.67912451,3.743896898
185,1.107150595,10.97790005,2.912655277,1.244839298,12.17307797,3.266514845,1.268858463,12.58130687,3.338071003,1.42760009,13.96026558,3.746087463
190,1.096032179,11.09756509,2.888544495,1.223163923,12.21814425,3.215690224,1.255304413,12.71023122,3.308299445,1.404557832,14.03008204,3.692573663
195,1.086852939,11.23254302,2.869240136,1.233649036,12.58217593,3.249150269,1.244784122,12.86474987,3.286170959,1.418411572,14.4665974,3.735772659
200,1.078558427,11.37307589,2.85205014,1.235203036,12.85769802,3.25893751,1.23528698,13.02573158,3.266490079,1.421105297,14.79282533,3.749418699
